,rain intensity [mm/h]
2018-05-23 13:48:00,63.246798774377424
2018-05-23 13:48:30,68.97341429966107
2018-05-23 13:49:00,50.35187112600567
2018-05-23 13:49:30,62.39705484754205
2018-05-23 13:50:00,64.98436001632446
2018-05-23 13:50:30,60.82792822733763
2018-05-23 13:51:00,67.86886884578226
2018-05-23 13:51:30,68.43800434059881
2018-05-23 13:52:00,58.66218202591791
2018-05-23 13:52:30,69.1832193112267
2018-05-23 13:53:00,65.4644636554568
2018-05-23 13:53:30,74.95635944806216
2018-05-23 13:54:00,72.04071880623059
2018-05-23 13:54:30,66.28237260524853
2018-05-23 13:55:00,91.64154394352778
2018-05-23 13:55:30,75.42148147963168
2018-05-23 13:56:00,64.18962609973292
2018-05-23 13:56:30,68.82673390139979
2018-05-23 13:57:00,49.992628247001996
2018-05-23 13:57:30,54.82054285359258
2018-05-23 13:58:00,56.64929692636555
2018-05-23 13:58:30,53.63486461027756
2018-05-23 13:59:00,66.88182653630246
2018-05-23 13:59:30,65.86894540992239
2018-05-23 14:00:00,89.01963653824122
2018-05-23 14:00:30,54.60152717013089
2018-05-23 14:01:00,47.01977100962511
2018-05-23 14:01:30,59.13102008308631
2018-05-23 14:02:00,62.80446963742833
2018-05-23 14:02:30,29.337488355245945
2018-05-23 14:03:00,0.19492377721251727
2018-05-23 14:03:30,0.0
2018-05-23 14:04:00,0.0
2018-05-23 14:04:30,0.0
2018-05-23 14:05:00,0.0
2018-05-23 14:05:30,0.0
2018-05-23 14:06:00,0.0
2018-05-23 14:06:30,0.0
2018-05-23 14:07:00,0.0
2018-05-23 14:07:30,0.0
2018-05-23 14:08:00,0.0
2018-05-23 14:08:30,0.0
2018-05-23 14:09:00,0.0
2018-05-23 14:09:30,0.0
